steps,scenario,sr,cs,cd_mean,cd_std,speed,safety_score
80000,emptyTown02,1.0,0.0,0.23706828172436212,0.25017246491624884,18.92214519135772,90.26
980000,emptyTown02,1.0,0.0,0.053950219011985434,0.06430583253420093,23.189699993305737,97.63
680000,emptyTown02,1.0,0.0,0.06802904901413405,0.05646061574878571,23.421938394094155,97.51
700000,emptyTown02,1.0,0.0,0.06894349139947822,0.054731770997768193,23.38782826529779,97.53
70000,emptyTown02,1.0,0.0,0.44324538619743975,0.4732404469876409,17.945806060336654,81.67
520000,emptyTown02,1.0,0.0,0.05681428004379872,0.05231621498389011,23.026154974311105,97.82
10000,emptyTown02,0.0,0.0,4.984550355351098,1.1063725208281145,0.46946034632235367,0.0
20000,emptyTown02,0.0,0.0,0.6963215147096685,0.3023517960077953,0.6535517550010402,0.0
720000,emptyTown02,1.0,0.0,0.06538934217416088,0.06485842288661388,23.851955572688638,97.4
600000,emptyTown02,1.0,0.0,0.06089415299260013,0.07306659225843212,23.156250913212155,97.32
920000,emptyTown02,1.0,0.0,0.059522773209801406,0.059539463198288164,24.53769519749093,97.62
900000,emptyTown02,1.0,0.0,0.05830707535959504,0.054516168555580315,24.799198613577527,97.74
590000,emptyTown02,1.0,0.0,0.0555966982885364,0.053840442305031246,23.29278802961094,97.81
40000,emptyTown02,0.0,0.0,1.414560720152784,0.6662520459952063,3.034775928496798,0.0
50000,emptyTown02,0.1,0.0,1.9954948306120612,0.45978468329797345,2.4518783057764595,0.0
170000,emptyTown02,1.0,0.0,0.09776439910745832,0.12298105672419309,24.28026711113089,95.59
300000,emptyTown02,1.0,0.0,0.06509279356799783,0.07563988647149303,23.13342526865178,97.19
230000,emptyTown02,1.0,0.0,0.07425410103668248,0.06638971352977638,23.895514134188137,97.19
850000,emptyTown02,1.0,0.0,0.058964707883789755,0.05867143769451705,24.34666295004154,97.65
430000,emptyTown02,1.0,0.0,0.060068892572382716,0.06162725268533499,23.475170056036358,97.57
440000,emptyTown02,1.0,0.0,0.05493906308262443,0.04964979782718993,22.994870075116932,97.91
480000,emptyTown02,1.0,0.0,0.0513297731077,0.05767010043534328,22.946461824041602,97.82
810000,emptyTown02,1.0,0.0,0.056870173849352036,0.06192376096594643,24.261941093569497,97.62
630000,emptyTown02,1.0,0.0,0.06756995344094979,0.06121751867200428,22.9094409438567,97.42
880000,emptyTown02,1.0,0.0,0.05683193643973315,0.060396100540358266,24.605522791861098,97.66
910000,emptyTown02,1.0,0.0,0.06144801875826746,0.06797090217644103,24.46227017154821,97.41
800000,emptyTown02,1.0,0.0,0.06140195324570943,0.05359437159373911,24.068768217089254,97.7
130000,emptyTown02,1.0,0.0,0.1356280830641404,0.11975637339927173,21.568649103439462,94.89
100000,emptyTown02,1.0,0.0,0.197043164920187,0.1887001971230558,20.37682155864652,92.29
500000,emptyTown02,1.0,0.0,0.06657636595254413,0.057715680379356024,23.236899610321803,97.51
950000,emptyTown02,1.0,0.0,0.05537597991463401,0.055413210483139005,24.630800133319905,97.78
860000,emptyTown02,1.0,0.0,0.06236151258026459,0.0575752773588464,24.108981686931067,97.6
190000,emptyTown02,1.0,0.0,0.0734343862130465,0.06938431447000018,23.824540109638,97.14
550000,emptyTown02,1.0,0.0,0.056558772048715886,0.06659215978535761,22.678813513372404,97.54
840000,emptyTown02,1.0,0.0,0.0535809972771983,0.04971640167158199,24.25859094491162,97.93
160000,emptyTown02,1.0,0.0,0.08999625962990344,0.10500991846966361,23.15193017648005,96.1
370000,emptyTown02,1.0,0.0,0.04678770950329055,0.05575916557098566,23.382995383079624,97.95
640000,emptyTown02,1.0,0.0,0.0635741313858506,0.05949830565980248,23.085434161451182,97.54
540000,emptyTown02,1.0,0.0,0.052695389356943456,0.05594905887000508,22.768666417000265,97.83
140000,emptyTown02,1.0,0.0,0.11566470615050417,0.10700510829365054,22.09255769976421,95.55
790000,emptyTown02,1.0,0.0,0.05521374097164801,0.051655284149594416,23.993014811350797,97.86
620000,emptyTown02,1.0,0.0,0.0575378374239922,0.054065262805504444,22.855578445232606,97.77
280000,emptyTown02,1.0,0.0,0.05845982266593373,0.07350878864494771,23.452276736216835,97.36
240000,emptyTown02,1.0,0.0,0.06602231402633026,0.06741359857311854,23.69611631021857,97.33
560000,emptyTown02,1.0,0.0,0.05730706856649455,0.0591859272524745,22.6534773464145,97.67
270000,emptyTown02,1.0,0.0,0.0662531611723149,0.09075928087462362,23.77428097232333,96.86
120000,emptyTown02,1.0,0.0,0.17407042226025932,0.11753088038352652,21.321313840006535,94.17
320000,emptyTown02,1.0,0.0,0.057005732289792665,0.06457418838566806,23.248998381353534,97.57
340000,emptyTown02,1.0,0.0,0.060483725885813355,0.060575536977911515,23.591360292975903,97.58
290000,emptyTown02,1.0,0.0,0.05763097482845873,0.08284410727238634,23.221634451919495,97.19
